stimuli,emotion_stimuli,subject,emotion_subject
kikuguti_sad_au_1_0,sad,5,sad
sirakura_sad_au_mouth_1_0_130,sad,5,sad
nakatakuma_sad_au_2_0,sad,5,sad
nishio_sur_au_mouth_2_0,sur,5,hap
ota_sur_fr_1_0,sur,5,sur
koyama_sur_fr_2_0,sur,5,sur
iwagami_sur_au_mouth_2_0,sur,5,sur
henmi_sur_au_mouth_2_0,sur,5,sur
kikuguti_sur_fr_2_0,sur,5,sur
sirakura_sur_fr_1_0,sur,5,sur
nakatakuma_sur_au_mouth_2_0,sur,5,sur
nishio_ang_au_cl_2_0,ang,6,ang
ota_ang_au_cl_1_0,ang,6,ang
koyama_ang_au_cl_2_0,ang,6,ang
iwagami_ang_au_cl_1_0,ang,6,ang
henmi_ang_au_cl_4_0,ang,6,ang
kikuguti_ang_au_cl_1_0,ang,6,ang
sirakura_ang_au_cl_3_0,ang,6,ang
nakatakuma_ang_au_cl_2_0,ang,6,ang
nishio_dis_au_cl_3_0,dis,6,dis
ota_dis_au_cl_1_0,dis,6,dis
koyama_dis_au_cl_2_0,dis,6,dis
iwagami_dis_au_cl_1_0,dis,6,dis
henmi_dis_au_cl_1_0,dis,6,dis
kikuguti_dis_au_cl_4_0,dis,6,dis
sirakura_dis_au_cl_1_0,dis,6,sad
nakatakuma_dis_au_cl_1_0,dis,6,ang
nishio_fea_au_mouth_2_0,fea,6,fea
ota_fea_fr_2_0,fea,6,fea
koyama_fea_fr_2_0,fea,6,sur
iwagami_fea_au_mouth_1_0,fea,6,fea
henmi_fea_au_mouth_2_0,fea,6,fea
kikuguti_fea_au_mouth_1_0,fea,6,sad
sirakura_fea_fr_2_0,fea,6,sur
nakatakuma_fea_fr_1_0,fea,6,fea
nishio_hap_au_du_1_0,hap,6,hap
ota_hap_au_du_1_0,hap,6,hap
koyama_hap_au_du_1_0,hap,6,hap
iwagami_hap_au_du_2_0,hap,6,hap
henmi_hap_au_du_1_0,hap,6,hap
kikuguti_hap_au_du_4_0,hap,6,hap
sirakura_hap_au_du_2_0,hap,6,hap
nakatakuma_hap_au_du_1_0,hap,6,hap
nishio_sad_au_1_0,sad,6,sad
ota_sad_au_mouth_1_0,sad,6,sad
koyama_sad_au_mouth_1_0,sad,6,sad
iwagami_sad_au_mouth_3_0,sad,6,sad
henmi_sad_au_mouth_3_0,sad,6,sad
kikuguti_sad_au_1_0,sad,6,sad
sirakura_sad_au_mouth_1_0_130,sad,6,sad
nakatakuma_sad_au_2_0,sad,6,sad
nishio_sur_au_mouth_2_0,sur,6,sur
ota_sur_fr_1_0,sur,6,sur
koyama_sur_fr_2_0,sur,6,sur
iwagami_sur_au_mouth_2_0,sur,6,sur
henmi_sur_au_mouth_2_0,sur,6,sur
kikuguti_sur_fr_2_0,sur,6,ang
sirakura_sur_fr_1_0,sur,6,sur
nakatakuma_sur_au_mouth_2_0,sur,6,sur
nishio_ang_au_cl_2_0,ang,7,ang
ota_ang_au_cl_1_0,ang,7,ang
