stimuli,emotion_stimuli,subject,emotion_subject
henmi_dis_au_cl_1_0,dis,KN,sad
kikuguti_dis_au_cl_4_0,dis,KN,ang
sirakura_dis_au_cl_1_0,dis,KN,sad
nakatakuma_dis_au_cl_1_0,dis,KN,dis
nishio_fea_au_mouth_2_0,fea,KN,fea
ota_fea_fr_2_0,fea,KN,fea
koyama_fea_fr_2_0,fea,KN,sur
iwagami_fea_au_mouth_1_0,fea,KN,fea
henmi_fea_au_mouth_2_0,fea,KN,fea
kikuguti_fea_au_mouth_1_0,fea,KN,fea
sirakura_fea_fr_2_0,fea,KN,sur
nakatakuma_fea_fr_1_0,fea,KN,sur
nishio_hap_au_du_1_0,hap,KN,hap
ota_hap_au_du_1_0,hap,KN,hap
koyama_hap_au_du_1_0,hap,KN,hap
iwagami_hap_au_du_2_0,hap,KN,hap
henmi_hap_au_du_1_0,hap,KN,hap
kikuguti_hap_au_du_4_0,hap,KN,hap
sirakura_hap_au_du_2_0,hap,KN,hap
nakatakuma_hap_au_du_1_0,hap,KN,hap
nishio_sad_au_1_0,sad,KN,sad
ota_sad_au_mouth_1_0,sad,KN,sad
koyama_sad_au_mouth_1_0,sad,KN,sad
iwagami_sad_au_mouth_3_0,sad,KN,sad
henmi_sad_au_mouth_3_0,sad,KN,sad
kikuguti_sad_au_1_0,sad,KN,sad
sirakura_sad_au_mouth_1_0_130,sad,KN,sad
nakatakuma_sad_au_2_0,sad,KN,sad
nishio_sur_au_mouth_2_0,sur,KN,hap
ota_sur_fr_1_0,sur,KN,sur
koyama_sur_fr_2_0,sur,KN,sur
iwagami_sur_au_mouth_2_0,sur,KN,sur
henmi_sur_au_mouth_2_0,sur,KN,sur
kikuguti_sur_fr_2_0,sur,KN,sur
sirakura_sur_fr_1_0,sur,KN,sur
nakatakuma_sur_au_mouth_2_0,sur,KN,sur
nishio_ang_au_cl_2_0,ang,SK,ang
ota_ang_au_cl_1_0,ang,SK,dis
koyama_ang_au_cl_2_0,ang,SK,sur
iwagami_ang_au_cl_1_0,ang,SK,sad
henmi_ang_au_cl_4_0,ang,SK,sad
kikuguti_ang_au_cl_1_0,ang,SK,ang
sirakura_ang_au_cl_3_0,ang,SK,ang
nakatakuma_ang_au_cl_2_0,ang,SK,dis
nishio_dis_au_cl_3_0,dis,SK,dis
ota_dis_au_cl_1_0,dis,SK,ang
koyama_dis_au_cl_2_0,dis,SK,dis
iwagami_dis_au_cl_1_0,dis,SK,dis
henmi_dis_au_cl_1_0,dis,SK,dis
kikuguti_dis_au_cl_4_0,dis,SK,dis
sirakura_dis_au_cl_1_0,dis,SK,sad
nakatakuma_dis_au_cl_1_0,dis,SK,dis
nishio_fea_au_mouth_2_0,fea,SK,sur
ota_fea_fr_2_0,fea,SK,fea
koyama_fea_fr_2_0,fea,SK,ang
iwagami_fea_au_mouth_1_0,fea,SK,dis
henmi_fea_au_mouth_2_0,fea,SK,fea
kikuguti_fea_au_mouth_1_0,fea,SK,sad
sirakura_fea_fr_2_0,fea,SK,fea
nakatakuma_fea_fr_1_0,fea,SK,sur
nishio_hap_au_du_1_0,hap,SK,hap
ota_hap_au_du_1_0,hap,SK,hap
koyama_hap_au_du_1_0,hap,SK,hap
iwagami_hap_au_du_2_0,hap,SK,hap
henmi_hap_au_du_1_0,hap,SK,hap
kikuguti_hap_au_du_4_0,hap,SK,hap
sirakura_hap_au_du_2_0,hap,SK,hap
nakatakuma_hap_au_du_1_0,hap,SK,hap
nishio_sad_au_1_0,sad,SK,sad
ota_sad_au_mouth_1_0,sad,SK,sad
koyama_sad_au_mouth_1_0,sad,SK,sad
iwagami_sad_au_mouth_3_0,sad,SK,sad
henmi_sad_au_mouth_3_0,sad,SK,sad
kikuguti_sad_au_1_0,sad,SK,sad
sirakura_sad_au_mouth_1_0_130,sad,SK,sad
nakatakuma_sad_au_2_0,sad,SK,sad
nishio_sur_au_mouth_2_0,sur,SK,sur
ota_sur_fr_1_0,sur,SK,sur
koyama_sur_fr_2_0,sur,SK,sur
iwagami_sur_au_mouth_2_0,sur,SK,sur
henmi_sur_au_mouth_2_0,sur,SK,sur
kikuguti_sur_fr_2_0,sur,SK,sur
sirakura_sur_fr_1_0,sur,SK,sur
nakatakuma_sur_au_mouth_2_0,sur,SK,sur
nishio_ang_au_cl_2_0,ang,AK,ang
ota_ang_au_cl_1_0,ang,AK,ang
koyama_ang_au_cl_2_0,ang,AK,ang
iwagami_ang_au_cl_1_0,ang,AK,sad
henmi_ang_au_cl_4_0,ang,AK,ang
kikuguti_ang_au_cl_1_0,ang,AK,ang
sirakura_ang_au_cl_3_0,ang,AK,ang
nakatakuma_ang_au_cl_2_0,ang,AK,ang
nishio_dis_au_cl_3_0,dis,AK,dis
ota_dis_au_cl_1_0,dis,AK,dis
koyama_dis_au_cl_2_0,dis,AK,dis
iwagami_dis_au_cl_1_0,dis,AK,dis
henmi_dis_au_cl_1_0,dis,AK,sad
kikuguti_dis_au_cl_4_0,dis,AK,dis
